File,timeISO8601,timeInt64,Dd,DMA1,DMA2,DMA3,DMA4,DMA5,DMA6,DMA7,DMA8,DMA9,DMA10,DMA11,DMA12,DMA13,DMA14,DMA15,DMA16,DMA17,DMA18,DMA19,DMA20,DMA21,DMA22,DMA23,DMA24,DMA25,DMA26,DMA27,DMA28,DMA29,DMA30,DMA31,DMA32,DMA33,DMA34,DMA35,DMA36,DMA37,DMA38,DMA39,DMA40,DMA41,DMA42,DMA43,DMA44,DMA45,DMA46,DMA47,DMA48,DMA49,DMA50,DMA51,DMA52,DMA53,DMA54,DMA55,DMA56,DMA57,DMA58,DMA59,DMA60
none,2022-02-01T01:30:00.0,63779362200000,50.00000000000001,0.0,0.0,0.0,0.0,0.09000036000144002,0.12000048000192001,0.12000048000192001,0.1500006000024,0.4500018000072001,0.8700034800139201,1.500006000024,2.3100092400369605,2.9400117600470406,4.500018000072001,5.400021600086401,6.780027120108481,6.840027360109441,7.680030720122881,7.260029040116161,6.06002424009696,5.460021840087361,5.580022320089281,4.500018000072001,4.68001872007488,4.8000192000768,3.8100152400609604,3.9000156000624004,4.6500186000744,3.03001212004848,3.1500126000504003,2.9100116400465605,2.6400105600422403,1.5900063600254402,1.4100056400225602,0.9300037200148801,0.6300025200100801,0.36000144000576006,0.12000048000192001,0.1500006000024,0.12000048000192001,0.060000240000960006,0.0,0.030000120000480003,0.030000120000480003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,79.99999999995667,82.12668479852432,84.31657219948654,86.57190604294387,88.89502910013019,91.28838835584885,93.75454060996577,96.29615841810042,98.91603639285229,101.61709788813359,104.40240209046637,107.27515154242741,110.23870012477941,113.29656152522237,116.45241822310382,119.71013102085048,123.07374915429872,126.54752101550305,130.13590552296856,133.84358417555612,137.67547382754557,141.63674022344983,145.732812332161,149.96939752079953,154.35249760922852,158.88842584650862,163.58382485058428,168.44568555214167,173.48136718280844,178.6986183466365,184.10559921203927,189.7109048590246,195.52358981358753,201.55319379750932,207.80976871747382,214.30390691240436,221.0467706722074,228.0501230347859,235.3263598612747,242.88854318216056,250.75043579940936,258.9265371222066,267.43212020678095,276.28326996435294,285.4969224961203,295.09090551082966,305.08397977961965,315.4958815850801,326.3473661277071,337.66025186382774,349.4574657654039,361.7630895145961,374.60240667500733,388.0019509175852,401.9895554221476,416.594403625153,431.84708153991477,447.779631935631,464.4256107247664,481.8201459720422
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,81.05557858772248,83.21359019261762,85.43591427180358,87.72484348981696,90.08277204488375,92.51220110843558,95.01574459360853,97.59613527345823,100.25623127083787,102.99902294314919,105.82764018648137,108.74536018499502,111.75561563278441,114.86200345685201,118.06829407124563,121.3784411938288,124.79659225856666,128.32709945759484,131.97453144867785,135.74368576493586,139.63960196489285,143.6675755619561,147.83317277332418,152.14224612902262,156.6009509822199,161.2157629621497,165.99349641080337,170.9413238440022,176.0667964764691,181.37786584902358,186.88290659398223,192.59074037219915,198.51066101188562,204.65246087537503,211.02645847532875,217.64352735650925,224.51512625322087,231.65333052588787,239.07086487311807,246.78113730815977,254.7982743810939,263.13715762073144,271.8134611633511,280.8436905295611,290.24522250625495,300.0363460884246,310.23630443620425,320.86533780666883,331.94472742837894,343.49684030018994,355.545174915171,368.11440793617965,381.230441882163,394.92045392379623,409.21294593345704,424.1377959872709,439.7263115750349,456.0112848357335,473.0270502001268,490.8095448849697
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,82.12668479852432,84.31657219948654,86.57190604294387,88.89502910013019,91.28838835584885,93.75454060996577,96.29615841810042,98.91603639285229,101.61709788813359,104.40240209046637,107.27515154242741,110.23870012477941,113.29656152522237,116.45241822310382,119.71013102085048,123.07374915429872,126.54752101550305,130.13590552296856,133.84358417555612,137.67547382754557,141.63674022344983,145.732812332161,149.96939752079953,154.35249760922852,158.88842584650862,163.58382485058428,168.44568555214167,173.48136718280844,178.6986183466365,184.10559921203927,189.7109048590246,195.52358981358753,201.55319379750932,207.80976871747382,214.30390691240436,221.0467706722074,228.0501230347859,235.3263598612747,242.88854318216056,250.75043579940936,258.9265371222066,267.43212020678095,276.28326996435294,285.4969224961203,295.09090551082966,305.08397977961965,315.4958815850801,326.3473661277071,337.66025186382774,349.4574657654039,361.7630895145961,374.60240667500733,388.0019509175852,401.9895554221476,416.594403625153,431.84708153991477,447.779631935631,464.4256107247664,481.8201459720422,499.99999999999955
none,2022-02-01T01:45:00.0,63779363100000,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000120000480003,0.7200028800115201,4.0200160800643205,9.4500378001512,19.29007716030864,30.120120480481923,35.61014244056977,38.94015576062304,37.41014964059856,23.400093600374404,13.890055560222242,6.09002436009744,1.6800067200268802,0.18000072000288003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,120.00000000006334,123.11301905088501,126.32013238086833,129.62485328940164,133.0308567519289,136.54198797428361,140.16227141652416,143.895920308945,147.74734668338775,151.72117194332145,155.82223799638726,160.05561897318705,164.42663355601377,168.94085794094948,173.60413945627536,178.42261085941223,183.40270533362587,188.55117220445268,193.87509339422365,199.38190063114803,205.07939342717688,210.9757578362584,217.07958600168982,223.39989649798085,229.9461554691366,236.72829856144253,243.75675364491943,251.04246431355392,258.59691415047956,266.4321517404874,274.56081640893296,282.99616466333646,291.75209731217933,300.8431872347045,310.28470777638984,320.0926617474559,330.28381100660584,340.8757066196587,351.88671959294464,363.33607219479364,375.2438698951207,387.63113397336423,400.5198348685553,413.93292637220617,427.89438079432995,442.4292252649698,457.563579367038,473.32469433034254,489.74099404988124,506.84211822278104,524.658967925799,543.2237539779055,562.5700484482604,582.7328396778765,603.7485911819026,625.6553047883926,648.4925883478327,672.3017283162471,697.1257674736063,723.009587990404
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,121.54496123084029,124.70459804185192,127.96006608910626,131.3149584692083,134.77303417469213,138.33822688030384,142.01465421006068,145.80662750799831,149.7186621359157,153.75548832171717,157.92206258210757,162.2235797434022,166.66548558403738,171.25349012199584,175.99358156975993,180.89204097855293,185.95545759250157,191.1907449319252,196.60515762321438,202.20630899068126,208.00218942334223,214.00118552683102,220.212100067543,226.6441727127035,233.3071015663836,240.21106549760253,247.3667472526558,254.78535733979353,262.4786586704876,270.4589919379482,278.73930171047584,287.3331632149225,296.2548097842483,305.5191609432047,315.14185110790737,325.1392588787826,335.52853691247805,346.3276423671297,357.55536792717385,369.2313734289502,381.376218126789,394.0113936611845,407.15935781589707,420.84356917915994,435.0885228550919,449.9197874042752,465.36404322634587,481.4491226312488,498.20405187823195,515.659095491278,533.8458031849209,552.7970597537866,572.5471382912349,593.1317571059182,614.5881406989341,636.9550851479219,660.2730282178886,684.5841244821361,709.9323256914815,736.3634665776302
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,123.11301905088501,126.32013238086833,129.62485328940164,133.0308567519289,136.54198797428361,140.16227141652416,143.895920308945,147.74734668338775,151.72117194332145,155.82223799638726,160.05561897318705,164.42663355601377,168.94085794094948,173.60413945627536,178.42261085941223,183.40270533362587,188.55117220445268,193.87509339422365,199.38190063114803,205.07939342717688,210.9757578362584,217.07958600168982,223.39989649798085,229.9461554691366,236.72829856144253,243.75675364491943,251.04246431355392,258.59691415047956,266.4321517404874,274.56081640893296,282.99616466333646,291.75209731217933,300.8431872347045,310.28470777638984,320.0926617474559,330.28381100660584,340.8757066196587,351.88671959294464,363.33607219479364,375.2438698951207,387.63113397336423,400.5198348685553,413.93292637220617,427.89438079432995,442.4292252649698,457.563579367038,473.32469433034254,489.74099404988124,506.84211822278104,524.658967925799,543.2237539779055,562.5700484482604,582.7328396778765,603.7485911819026,625.6553047883926,648.4925883478327,672.3017283162471,697.1257674736063,723.009587990404,750.0
none,2022-02-01T02:00:00.0,63779364000000,150.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000072000288003,0.4500018000072001,1.8900075600302402,3.9900159600638405,6.420025680102721,9.63003852015408,13.290053160212642,13.440053760215042,12.810051240204961,9.81003924015696,5.1000204000816005,2.5800103200412803,2.5500102000408003,2.46000984003936,4.83001932007728,7.3500294001176005,9.87003948015792,9.39003756015024,8.880035520142082,6.480025920103681,3.8100152400609604,1.53000612002448,0.3000012000048,0.12000048000192001,0.030000120000480003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,40.000000000019384,41.125789054904615,42.28516079002728,43.4792304569472,44.709157131089604,45.97614582735555,47.28144973919745,48.626372609434135,50.0122712416876,51.440558161973485,52.91270444067733,54.43024268590603,55.994770220010004,57.60795245194948,59.27152645911182,60.987304793199854,62.75717952589056,64.58312655113163,66.46721016219138,68.41158792291647,70.41851585409496,72.4903539573546,74.62957210068181,76.83875629140186,79.12061536434837,81.47798811494967,83.91385090909972,86.43132580394902,89.03368921615431,91.72438117667679,94.50701521389887,97.38538890966099,100.36349517577628,103.44553430167852,106.63592682707085,109.93932729676352,113.36063895830742,116.90502946650082,120.57794766237421,124.38514149776272,128.3326771800504,132.42695961503492,136.67475422904806,141.08321025442277,145.659885564985,150.4127731504161,155.35032931990332,160.48150372638753,165.8157713027405,171.36316620022686,177.13431781745064,183.14048900446738,189.3936165217282,195.90635382680284,202.69211625332693,209.76512863619203,217.1404754246564,224.83415331079502,232.86312638474945,241.24538381081013
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,40.55876473923513,41.701208387355926,42.877786991130606,44.089637457008045,45.3379415581701,46.623928110875916,47.948875278335805,49.31411301068732,50.7210256302747,52.17105457210731,53.665701290100706,55.20653034048565,56.7951726546114,58.433329014275024,60.12277374368129,61.86535863318232,63.66301711107122,65.51776868090896,67.43172364315912,69.40708812129228,71.44616941401226,73.551381696847,75.72525209805333,77.9704271756033,80.28967982396581,82.6859166414633,85.1621857911885,87.72168539080143,90.36777246900276,93.10397252909667,95.93398976281038,98.8617179604349,101.89125216637593,105.02690113236412,108.27320062383774,111.63492763838647,115.11711559859232,118.72507058510517,122.46438867931357,126.34097448846693,130.36106092953213,134.53123035135278,138.85843707776087,143.35003145707353,148.01378550580222,152.8579202362823,157.891134759186,163.12263725235297,168.56217788692152,174.22008380019355,180.1072962018549,186.2354096959239,192.61671389495407,199.2642373954205,206.19179417376174,213.4140324511686,220.9464860618971,228.80562834474514,237.0089285605975,245.5749108209705
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,41.125789054904615,42.28516079002728,43.4792304569472,44.709157131089604,45.97614582735555,47.28144973919745,48.626372609434135,50.0122712416876,51.440558161973485,52.91270444067733,54.43024268590603,55.994770220010004,57.60795245194948,59.27152645911182,60.987304793199854,62.75717952589056,64.58312655113163,66.46721016219138,68.41158792291647,70.41851585409496,72.4903539573546,74.62957210068181,76.83875629140186,79.12061536434837,81.47798811494967,83.91385090909972,86.43132580394902,89.03368921615431,91.72438117667679,94.50701521389887,97.38538890966099,100.36349517577628,103.44553430167852,106.63592682707085,109.93932729676352,113.36063895830742,116.90502946650082,120.57794766237421,124.38514149776272,128.3326771800504,132.42695961503492,136.67475422904806,141.08321025442277,145.659885564985,150.4127731504161,155.35032931990332,160.48150372638753,165.8157713027405,171.36316620022686,177.13431781745064,183.14048900446738,189.3936165217282,195.90635382680284,202.69211625332693,209.76512863619203,217.1404754246564,224.83415331079502,232.86312638474945,241.24538381081013,249.99999999999983
none,2022-02-01T02:15:00.0,63779364900000,50.00000000000001,0.0,0.0,0.0,0.0,0.09000036000144002,0.12000048000192001,0.12000048000192001,0.1500006000024,0.4500018000072001,0.8700034800139201,1.500006000024,2.3100092400369605,2.9400117600470406,4.500018000072001,5.400021600086401,6.780027120108481,6.840027360109441,7.680030720122881,7.260029040116161,6.06002424009696,5.460021840087361,5.580022320089281,4.500018000072001,4.68001872007488,4.8000192000768,3.8100152400609604,3.9000156000624004,4.6500186000744,3.03001212004848,3.1500126000504003,2.9100116400465605,2.6400105600422403,1.5900063600254402,1.4100056400225602,0.9300037200148801,0.6300025200100801,0.36000144000576006,0.12000048000192001,0.1500006000024,0.12000048000192001,0.060000240000960006,0.0,0.030000120000480003,0.030000120000480003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
